date,category,amount
2025-09-22,Rent/Mortgage,1500.00
2025-09-23,Electricity,90.00
2025-09-24,Water,40.00
2025-09-25,Internet,60.00
2025-09-26,Phone,55.00
2025-09-27,Subscriptions,25.00
2025-09-28,Gym,45.00
2025-09-29,Insurance,110.00
2025-09-30,Credit Monitoring,15.00
2025-10-01,Streaming,14.99
2025-10-02,Cloud Storage,9.99
2025-10-03,Car Insurance,95.00
2025-10-04,Gas Bill,70.00
2025-10-05,Security System,25.00
2025-10-06,Music Service,12.00
2025-10-07,Newspaper,7.50
2025-10-08,Software,19.99
2025-10-09,Childcare,300.00
2025-10-10,Medical Plan,180.00
2025-10-11,Home Warranty,45.00
2025-10-12,Parking,60.00
2025-10-13,Loan Payment,200.00
2025-10-14,Trash Collection,18.00
2025-10-15,Pet Insurance,22.00
2025-10-16,Streaming 2,11.99
2025-10-17,Home Security,30.00
2025-10-18,Yoga Class,25.00
2025-10-19,Water Filter Service,20.00
