date,category,amount
2024-01-01,Student Loan,2500.00
2024-01-05,Tuition,-1800.00
2024-01-06,Books,-120.00
2024-01-07,Food,-22.50
2024-01-08,Part-time Job,600.00
2024-01-09,Transportation,-18.20
2024-01-10,Coffee,-6.50
2024-01-11,Entertainment,-25.00
2024-01-12,Food,-30.10
2024-01-13,Transportation,-15.00
2024-01-14,Food,-18.70
2024-01-15,Books,-45.00
2024-01-16,Food,-24.60
2024-01-17,Coffee,-5.20
2024-01-18,Entertainment,-40.00
2024-01-19,Food,-27.90
2024-01-20,Transportation,-16.50
2024-01-21,Food,-19.30
2024-01-23,Coffee,-7.10
2024-01-25,Food,-28.60
2024-01-27,Entertainment,-22.00
2024-01-28,Food,-21.40
2024-01-30,Part-time Job,550.00
2024-02-01,Student Loan,2500.00
2024-02-04,Tuition,-1850.00
2024-02-05,Books,-95.00
2024-02-06,Food,-26.50
2024-02-07,Coffee,-5.80
2024-02-08,Transportation,-14.20
2024-02-09,Food,-23.40
2024-02-10,Entertainment,-35.00
2024-02-11,Food,-30.20
2024-02-12,Coffee,-6.70
2024-02-13,Food,-27.10
2024-02-14,Transportation,-18.50
2024-02-15,Books,-60.00
2024-02-16,Food,-19.90
2024-02-17,Entertainment,-28.00
2024-02-18,Food,-22.70
2024-02-20,Coffee,-7.20
2024-02-21,Food,-29.60
2024-02-22,Transportation,-15.40
2024-02-23,Food,-18.80
2024-02-25,Entertainment,-32.00
2024-02-26,Food,-26.30
2024-02-28,Part-time Job,620.00
2024-03-01,Student Loan,2500.00
2024-03-03,Tuition,-1825.00
2024-03-04,Books,-110.00
2024-03-05,Food,-21.50
2024-03-06,Coffee,-5.30
2024-03-07,Transportation,-16.00
2024-03-08,Food,-28.10
2024-03-09,Entertainment,-42.00
2024-03-10,Food,-24.80
2024-03-11,Coffee,-6.90
2024-03-12,Food,-30.40
2024-03-13,Transportation,-15.50
2024-03-14,Books,-75.00
2024-03-15,Food,-20.60
2024-03-16,Entertainment,-38.00
2024-03-17,Food,-23.10
2024-03-18,Coffee,-6.20
2024-03-19,Food,-27.80
2024-03-20,Transportation,-17.30
2024-03-21,Food,-19.40
2024-03-23,Entertainment,-30.00
2024-03-24,Food,-25.70
2024-03-26,Coffee,-7.00
2024-03-27,Food,-28.90
2024-03-28,Transportation,-14.90
2024-03-29,Food,-22.20
2024-03-30,Part-time Job,580.00
