date,category,amount
2024-01-01,Salary,5200.00
2024-01-03,Rent,-1350.00
2024-01-04,Food,-45.20
2024-01-05,Transportation,-18.50
2024-01-06,Entertainment,-60.00
2024-01-08,Utilities,-110.75
2024-01-09,Food,-32.40
2024-01-10,Shopping,-85.30
2024-01-11,Healthcare,-220.00
2024-01-13,Food,-24.90
2024-01-15,Savings,-500.00
2024-01-16,Food,-42.10
2024-01-18,Transportation,-25.00
2024-01-20,Entertainment,-72.00
2024-01-21,Food,-39.50
2024-01-22,Insurance,-150.00
2024-01-23,Food,-60.80
2024-01-25,Shopping,-95.00
2024-01-27,Utilities,-115.60
2024-01-29,Food,-28.70
2024-01-30,Freelance,800.00
2024-02-01,Salary,5100.00
2024-02-02,Rent,-1350.00
2024-02-03,Food,-55.10
2024-02-04,Transportation,-19.80
2024-02-05,Entertainment,-48.50
2024-02-07,Food,-33.25
2024-02-08,Healthcare,-180.00
2024-02-10,Utilities,-120.40
2024-02-11,Food,-29.90
2024-02-13,Shopping,-110.00
2024-02-14,Food,-42.70
2024-02-15,Savings,-600.00
2024-02-16,Transportation,-21.00
2024-02-18,Food,-37.40
2024-02-19,Entertainment,-65.00
2024-02-21,Food,-46.20
2024-02-22,Insurance,-150.00
2024-02-23,Shopping,-130.40
2024-02-25,Food,-25.30
2024-02-26,Car Repair,-450.00
2024-02-28,Utilities,-118.90
2024-03-01,Salary,5300.00
2024-03-02,Rent,-1400.00
2024-03-03,Food,-50.60
2024-03-04,Transportation,-17.90
2024-03-05,Entertainment,-55.00
2024-03-07,Food,-27.80
2024-03-08,Shopping,-140.00
2024-03-09,Utilities,-119.20
2024-03-10,Food,-36.40
2024-03-12,Healthcare,-320.00
2024-03-14,Food,-40.25
2024-03-15,Savings,-700.00
2024-03-16,Transportation,-23.50
2024-03-17,Food,-44.60
2024-03-19,Entertainment,-68.40
2024-03-20,Food,-26.90
2024-03-22,Insurance,-150.00
2024-03-23,Shopping,-105.70
2024-03-24,Food,-52.10
2024-03-26,Utilities,-121.50
2024-03-28,Food,-29.30
2024-03-30,Freelance,950.00
2024-04-01,Salary,5400.00
2024-04-02,Rent,-1420.00
2024-04-03,Food,-47.60
2024-04-04,Transportation,-20.70
2024-04-05,Entertainment,-62.50
2024-04-06,Food,-32.80
2024-04-07,Shopping,-115.20
2024-04-08,Utilities,-122.30
2024-04-09,Food,-38.10
2024-04-10,Healthcare,-200.00
2024-04-12,Food,-41.70
2024-04-13,Transportation,-24.60
2024-04-14,Food,-36.20
2024-04-15,Savings,-650.00
2024-04-16,Entertainment,-75.00
2024-04-17,Food,-28.40
2024-04-18,Insurance,-150.00
2024-04-19,Shopping,-125.50
2024-04-21,Food,-45.30
2024-04-23,Utilities,-118.00
2024-04-25,Food,-33.70
2024-04-26,Car Repair,-380.00
2024-04-28,Food,-27.60
2024-04-29,Freelance,700.00
