date,category,amount
2025-09-01,Online Store - Product Sales,1520.00
2025-09-01,Online Store - Shipping Fees,230.00
2025-09-01,Online Store - Refund,-120.00
2025-09-02,Music Festival - Ticket Sales,3400.00
2025-09-02,Music Festival - Food Stall Income,980.00
2025-09-02,Music Festival - Stage Rental,-600.00
2025-09-03,Food Truck - Lunch Sales,850.00
2025-09-03,Food Truck - Fuel Expense,-90.00
2025-09-03,Corporate Workshop - Registration Fees,2100.00
2025-09-03,Corporate Workshop - Venue Hire,-750.00
2025-09-04,Online Store - Product Sales,1780.00
2025-09-04,Online Store - Product Sales,1660.00
2025-09-04,Online Store - Marketing Expense,-200.00
2025-09-04,Music Festival - Ticket Sales,3600.00
2025-09-04,Music Festival - Merchandise,820.00
2025-09-05,Food Truck - Dinner Sales,920.00
2025-09-05,Food Truck - Ingredient Purchase,-110.00
2025-09-05,Corporate Workshop - Registration Fees,1900.00
2025-09-05,Corporate Workshop - Printing,-65.00
2025-09-06,Online Store - Product Sales,1850.00
2025-09-06,Online Store - Product Sales,1720.00
2025-09-06,Online Store - Refund,-140.00
2025-09-06,Music Festival - Ticket Sales,3550.00
2025-09-06,Music Festival - Vendor Booth Income,600.00
2025-09-06,Music Festival - Lighting Expense,-300.00
2025-09-07,Food Truck - Lunch Sales,870.00
2025-09-07,Food Truck - Dinner Sales,960.00
2025-09-07,Food Truck - Maintenance,-80.00
2025-09-07,Corporate Workshop - Registration Fees,2200.00
2025-09-07,Corporate Workshop - Catering,-250.00
2025-09-08,Online Store - Product Sales,1620.00
2025-09-08,Online Store - Shipping Fees,210.00
2025-09-08,Online Store - Refund,-100.00
2025-09-08,Music Festival - Ticket Sales,3720.00
2025-09-08,Music Festival - Food Stall Income,1040.00
2025-09-08,Music Festival - Security,-400.00
2025-09-09,Food Truck - Lunch Sales,910.00
2025-09-09,Food Truck - Fuel Expense,-70.00
2025-09-09,Corporate Workshop - Registration Fees,2300.00
2025-09-09,Corporate Workshop - Venue Hire,-800.00
2025-09-10,Online Store - Product Sales,1750.00
2025-09-10,Online Store - Marketing Expense,-180.00
2025-09-10,Music Festival - Ticket Sales,3480.00
2025-09-10,Music Festival - Merchandise,900.00
2025-09-10,Music Festival - Stage Rental,-650.00
2025-09-10,Food Truck - Dinner Sales,980.00
2025-09-10,Food Truck - Ingredient Purchase,-95.00
2025-09-10,Corporate Workshop - Registration Fees,1950.00
2025-09-10,Corporate Workshop - Printing,-70.00
2025-09-11,Online Store - Product Sales,1680.00
2025-09-11,Online Store - Product Sales,1580.00
2025-09-11,Online Store - Refund,-120.00
2025-09-11,Music Festival - Ticket Sales,3600.00
2025-09-11,Music Festival - Vendor Booth Income,640.00
2025-09-11,Music Festival - Lighting Expense,-320.00
2025-09-11,Food Truck - Lunch Sales,940.00
2025-09-11,Food Truck - Dinner Sales,930.00
2025-09-11,Food Truck - Maintenance,-85.00
2025-09-11,Corporate Workshop - Registration Fees,2050.00
2025-09-11,Corporate Workshop - Catering,-260.00
