date,category,amount
2025-09-22,Credit Card,75.00
2025-09-23,Student Loan,200.00
2025-09-24,Car Loan,250.00
2025-09-25,Mortgage,900.00
2025-09-26,Credit Card,80.00
2025-09-27,Student Loan,190.00
2025-09-28,Car Loan,240.00
2025-09-29,Mortgage,900.00
2025-09-30,Credit Card,70.00
2025-10-01,Student Loan,210.00
2025-10-02,Car Loan,260.00
2025-10-03,Mortgage,900.00
2025-10-04,Personal Loan,130.00
2025-10-05,Medical Bill,60.00
2025-10-06,Business Loan,210.00
2025-10-07,Credit Card,75.00
2025-10-08,Student Loan,200.00
2025-10-09,Car Loan,250.00
2025-10-10,Mortgage,900.00
2025-10-11,Credit Card,80.00
2025-10-12,Student Loan,190.00
2025-10-13,Car Loan,240.00
2025-10-14,Mortgage,900.00
2025-10-15,Personal Loan,125.00
2025-10-16,Medical Bill,65.00
2025-10-17,Business Loan,215.00
2025-10-18,Credit Card,70.00
2025-10-19,Student Loan,205.00
