date,category,amount
2025-09-22,Salary,3500.00
2025-09-23,Freelance,820.00
2025-09-24,Dividends,260.00
2025-09-25,Rental Income,1200.00
2025-09-26,Side Gig,450.00
2025-09-27,Bond Interest,150.00
2025-09-28,Consulting,600.00
2025-09-29,Blog Ads,300.00
2025-09-30,YouTube,275.00
2025-10-01,Tutoring,400.00
2025-10-02,Affiliate Sales,350.00
2025-10-03,Stock Options,500.00
2025-10-04,Grant,700.00
2025-10-05,Salary Bonus,1200.00
2025-10-06,Part-time Job,380.00
2025-10-07,Workshop,200.00
2025-10-08,Coaching,450.00
2025-10-09,Dividend ETF,280.00
2025-10-10,Music Royalties,220.00
2025-10-11,Book Royalties,190.00
2025-10-12,Online Course,500.00
2025-10-13,Graphic Design,420.00
2025-10-14,Photography,310.00
2025-10-15,Podcast Ads,260.00
2025-10-16,Freelance Dev,700.00
2025-10-17,Translation,340.00
2025-10-18,Research Stipend,500.00
2025-10-19,Art Commissions,280.00
